,Player,Total matches,Total_runs_scored,Total_balls_faced,Avg_Strike_Rate,Total_batting_average,Total_wickets_taken,Overall_economy,Total_runs_given,Total_runs_scored_norm,Total_batting_average_norm,Avg_Strike_Rate_norm,Total_wickets_taken_norm,Overall_economy_norm,Player_type,Overall_score,Rank
4,Andre Russell,43,784,468,168.32666666666668,29.856666666666666,43,10.416666666666666,745,0.8200836820083682,0.7108730158730159,0.6412444444444445,0.9148936170212766,0.2942637759710931,All-rounder,70.01551957498944,1.0
5,Angkrish Raghuvanshi,10,163,105,155.23,23.29,0,0.0,0,0.1705020920502092,0.5545238095238095,0.591352380952381,0.0,1.0,Batsman,41.19636939629408,8.0
6,Anukul Roy,10,26,22,110.525,11.5,4,7.984999999999999,120,0.027196652719665274,0.27380952380952384,0.42104761904761906,0.0851063829787234,0.4590108401084011,Other Players,0.0,1.0
9,Harshit Rana,21,2,2,100.0,2.0,25,9.306666666666667,581,0.0020920502092050207,0.047619047619047616,0.38095238095238093,0.5319148936170213,0.3694670280036133,Bowler,46.693574737165804,2.0
16,Manish Pandey,1,42,31,135.48,42.0,0,0.0,0,0.043933054393305436,1.0,0.5161142857142856,0.0,1.0,Other Players,0.0,1.0
17,Mitchell Starc,14,9,11,81.81,4.5,17,10.61,444,0.009414225941422594,0.10714285714285714,0.31165714285714285,0.3617021276595745,0.28116531165311653,Bowler,32.948740125699125,5.0
18,Nitish Rana,30,816,578,136.09666666666666,26.846666666666664,3,8.49,75,0.8535564853556485,0.6392063492063491,0.5184634920634921,0.06382978723404255,0.4247967479674797,All-rounder,44.84700590253146,3.0
20,Phil Salt,12,435,239,182.0,39.55,0,0.0,0,0.45502092050209203,0.9416666666666667,0.6933333333333334,0.0,1.0,Batsman,67.25083682008368,4.0
21,Rahmanullah Gurbaz,14,289,216,134.15,25.82,0,0.0,0,0.3023012552301255,0.6147619047619047,0.5110476190476191,0.0,1.0,Batsman,45.86633592349073,7.0
22,Ramandeep Singh,15,125,62,201.61,31.25,0,0.0,0,0.1307531380753138,0.7440476190476191,0.7680380952380953,0.0,1.0,Batsman,50.59269695158398,6.0
24,Rinku Singh,36,816,547,148.96666666666667,37.57333333333333,0,0.0,0,0.8535564853556485,0.8946031746031745,0.5674920634920635,0.0,1.0,Batsman,78.00511655708308,1.0
29,Shreyas Iyer,29,752,537,140.71,34.925,0,0.0,0,0.7866108786610879,0.831547619047619,0.5360380952380953,0.0,1.0,Batsman,72.49200657501494,3.0
30,Sunil Narine,43,580,335,147.41333333333333,15.58,37,6.743333333333333,1063,0.606694560669456,0.370952380952381,0.5615746031746032,0.7872340425531915,0.5431345980126467,All-rounder,60.60150921214256,2.0
34,Vaibhav Arora,15,4,3,125.0,0.0,16,9.16,422,0.0041841004184100415,0.0,0.47619047619047616,0.3404255319148936,0.37940379403794033,Bowler,35.601683676411234,4.0
35,Varun Chakaravarthy,40,13,27,38.885,1.0,47,8.229999999999999,1163,0.013598326359832637,0.023809523809523808,0.14813333333333334,1.0,0.44241192411924124,Bowler,77.69647696476964,1.0
36,Venkatesh Iyer,41,956,679,137.44,30.55333333333333,0,0.0,0,1.0,0.7274603174603174,0.5235809523809524,0.0,1.0,Batsman,77.5312380952381,2.0
