POS,Player,Runs_scored,Mathces_played,Inns,NO,HS,Batting_avg,Ballsfaced,Batting_strikerate,100,50,4s,6s
9,Sunil Narine,488,15,14,0,109,34.86,270,180.74,1,3,50,33
14,Phil Salt,435,12,12,1,89,39.55,239,182,0,4,50,24
23,Venkatesh Iyer,370,15,13,5,70,46.25,233,158.79,0,4,35,19
26,Shreyas Iyer,351,15,14,5,58,39,239,146.86,0,2,34,14
45,Andre Russell,222,15,9,2,64,31.71,120,185,0,1,20,16
59,Rinku Singh,168,15,11,2,26,18.67,113,148.67,0,0,13,8
62,Angkrish Raghuvanshi,163,10,7,0,54,23.29,105,155.23,0,1,16,8
72,Ramandeep Singh,125,15,9,5,35,31.25,62,201.61,0,0,5,12
86,Rahmanullah Gurbaz,62,3,2,0,39,31,46,134.78,0,0,7,4
95,Manish Pandey,42,1,1,0,42,42,31,135.48,0,0,2,2
97,Nitish Rana,42,2,2,0,33,21,34,123.52,0,0,5,1
134,Mitchell Starc,9,14,5,3,6,4.5,11,81.81,0,0,1,0
147,Anukul Roy,3,4,1,1,3,0,3,100,0,0,0,0
160,Vaibhav Arora,1,10,2,2,1,0,1,100,0,0,0,0
