Player,Predicted_Overall_score,Player_type
Mukesh Kumar,79.07398,2
Khaleel Ahmed,75.189224,2
Rishabh Pant,70.06949,1
Ishant Sharma,63.152454,2
Jake Fraser - McGurk,61.636425,1
Abishek Porel,60.6897,1
Tristan Stubbs,58.139206,0
Kuldeep Yadav,57.190998,2
Axar Patel,56.546555,0
Anrich Nortje,52.347652,2
Prithvi Shaw,45.95865,1
Shai Hope,44.87039,1
David Warner,43.445335,1
Rasikh Salam,40.407764,2
Mitchell Marsh,10.7273855,3
Gulbadin Naib,1.8736305,3
Ricky Bhui,0.2515321,3
Kumar Kushagra,0.096818216,3
Sumit Kumar,0.006852619,3
Jhye Richardson,-0.22722892,3
Lalit Yadav,-0.26193994,3
Lizaad Williams,-0.60568804,3
