Team,Short Name,Abbrev,Played,Won,Lost,N/R,Win_Ratio,lost_Ratio,WR_Difference,Titles,Finalists,Playoff
Mumbai Indians,Mumbai,MIN,261,144,117,0,55.17241379,44.82758621,10.34482759,5,6,11
Royal Challengers Bengaluru,Bengaluru,RCB,256,123,129,4,48.046875,50.390625,-2.34375,0,3,9
Kolkata Knight Riders,Kolkata,KKR,252,131,120,1,51.98412698,47.61904762,4.365079365,3,4,7
Delhi Capitals (Delhi Daredevils prior to 2019),Delhi,DDV,252,115,135,2,45.63492063,53.57142857,-7.936507937,0,1,6
Punjab Kings (Kings XI Punjab prior to 2021),Punjab,KXI,246,112,134,0,45.52845528,54.47154472,-8.943089431,0,1,2
Chennai Super Kings,Chennai,CSK,239,138,99,2,57.74058577,41.42259414,16.31799163,5,10,13
Rajasthan Royals,Rajasthan,RRO,222,112,107,3,50.45045045,48.1981982,2.252252252,1,2,5
Sunrisers Hyderabad,Hyderabad,SUN,182,88,94,0,48.35164835,51.64835165,-3.296703297,1,3,6
Gujarat Titans,Gujarat Titans,GTI,45,28,17,0,62.22222222,37.77777778,24.44444444,1,2,2
Lucknow Super Giants,Lucknow,LSG,44,24,19,1,54.54545455,43.18181818,11.36363636,0,0,2
