,Team,Team_Name,Played,Won,Lost,N/R,Win_Ratio,lost_Ratio,WR_Difference,Titles,Finalists,Playoff,wlRatio
0,Mumbai Indians,MI,261,144,117,0,55.17241379,44.82758621,10.34482759,5,6,11,1.2307692307692308
1,Royal Challengers Bengaluru,RCB,256,123,129,4,48.046875,50.390625,-2.34375,0,3,9,0.9534883720930233
2,Kolkata Knight Riders,KKR,252,131,120,1,51.98412698,47.61904762,4.365079365,3,4,7,1.0916666666666666
3,Delhi Capitals,DC,252,115,135,2,45.63492063,53.57142857,-7.936507937,0,1,6,0.8518518518518519
4,Punjab Kings,PK,246,112,134,0,45.52845528,54.47154472,-8.943089431,0,1,2,0.835820895522388
5,Chennai Super Kings,CSK,239,138,99,2,57.74058577,41.42259414,16.31799163,5,10,13,1.393939393939394
6,Rajasthan Royals,RR,222,112,107,3,50.45045045,48.1981982,2.252252252,1,2,5,1.0467289719626167
7,Sunrisers Hyderabad,SRH,182,88,94,0,48.35164835,51.64835165,-3.296703297,1,3,6,0.9361702127659575
8,Gujarat Titans,GT,45,28,17,0,62.22222222,37.77777778,24.44444444,1,2,2,1.6470588235294117
9,Lucknow Super Giants,LSG,44,24,19,1,54.54545455,43.18181818,11.36363636,0,0,2,1.263157894736842
