Name,Matches,Runs,Bat Avg,Wickets,Bowl Avg
C V Varun,15,0,0,21,19.14
A D Russell,15,222,31.71,19,15.53
H P Rana,13,0,0,19,20.16
S P Narine,15,488,34.86,17,21.65
M A Starc,14,9,4.5,17,26.12
V G Arora,10,1,0,11,25.09
V R Iyer,15,370,46.25,0,0
M K Pandey,1,42,42,0,0
P D Salt,12,435,39.55,0,0
S S Iyer,15,351,39,0,0
R Singh,15,125,31.25,0,0
Rahmanullah Gurbaz,3,62,31,0,0
Angkrish Raghuvanshi,10,163,23.29,0,0
N Rana,2,42,21,0,0
R K Singh,15,168,18.67,0,0
P V D Chameera,1,0,0,0,0
A S Roy,4,3,0,0,0
S Sharma,2,0,0,0,0
